Date,Last Price,SPY_Return,Portfolio_PnL,Rolling_Mean,Rolling_Std,VaR_99
2010-12-31,125.75,0.0002386255170219176,238.62551702191757,0.00047890699984704275,0.0113151568092119,25844.083987701804
2011-01-03,127.05,0.010337972166998055,10337.972166998055,0.00046927295519316823,0.011314328610055789,25851.79135300958
2011-01-04,126.98,-0.000550964187327807,-550.964187327807,0.0005078086861563289,0.01133152456633791,25853.259398385428
2011-01-05,127.64,0.0051976689242401175,5197.668924240117,0.0004887197709249138,0.011329263198168836,25867.087584584293
2011-01-06,127.39,-0.0019586336571607577,-1958.6336571607576,0.0004961992985353518,0.011331762032966498,25865.421215992978
2011-01-07,127.14,-0.0019624774315095683,-1962.4774315095683,0.0004827786593418133,0.01133267824415511,25880.973281137314
2011-01-10,126.98,-0.001258455246185286,-1258.4552461852861,0.0005122337265180677,0.01131663929304765,25814.206034150375
2011-01-11,127.43,0.0035438651756183326,3543.8651756183326,0.00047341493280765335,0.011305954113561197,25828.16738327874
2011-01-12,128.58,0.009024562504904798,9024.562504904798,0.000476772037202327,0.011306743858751182,25826.64750092782
2011-01-13,128.3675,-0.0016526675999378737,-1652.6675999378738,0.0005577671809833662,0.011295107354727392,25718.581800749766
2011-01-14,129.3,0.007264299764348392,7264.299764348392,0.000501174110020433,0.011270471166920726,25717.86252858419
2011-01-18,129.52,0.001701469450889448,1701.469450889448,0.0005709057398096186,0.01125811381850125,25619.383407570574
2011-01-19,128.25,-0.009805435453984046,-9805.435453984046,0.0006546279403807591,0.011187884820192553,25372.28412608798
2011-01-20,128.08,-0.0013255360623780632,-1325.5360623780632,0.0007045736112774463,0.011112652655011804,25147.322267663567
2011-01-21,128.37,0.0022642098688319123,2264.2098688319124,0.0006787605248065259,0.011109831677112544,25166.57277819583
2011-01-24,129.1,0.005686686920620021,5686.686920620021,0.0007045796854989436,0.011105969689955359,25131.769291890723
2011-01-25,129.17,0.0005422153369480931,542.2153369480931,0.0007082979819875712,0.011107487441270223,25131.581812946748
2011-01-26,129.67,0.003870867848571713,3870.867848571713,0.0007563559446737958,0.011080533395599071,25020.819363416646
2011-01-27,129.99,0.002467802884244863,2467.802884244863,0.0008153136723082959,0.01105762004036019,24908.557200535026
2011-01-28,127.72,-0.01746288176013544,-17462.88176013544,0.0007629816991912106,0.011018491375496563,24869.862287332555
2011-01-31,128.68,0.007516442217350594,7516.442217350594,0.0006447164549307898,0.011054894166976508,25072.8130881615
2011-02-01,130.74,0.016008703761268173,16008.703761268172,0.000694713370747103,0.011057605185217258,25029.12294386604
2011-02-02,130.485,-0.0019504359798072635,-1950.4359798072635,0.0008822117203455764,0.010916816839324899,24514.101925111154
2011-02-03,130.78,0.0022607962601064457,2260.7962601064455,0.0008661424078431081,0.010918022655081284,24532.976384534973
2011-02-04,131.15,0.0028291787735128526,2829.178773512853,0.000904062397683834,0.010906284664799827,24467.749745957466
2011-02-07,131.97,0.006252382767823139,6252.382767823139,0.0008651382968368147,0.010881854746298695,24449.841357836387
2011-02-08,132.57,0.00454648783814493,4546.487838144931,0.0008979821871694389,0.010885688478561984,24425.916062404107
2011-02-09,132.269,-0.0022704986045107844,-2270.4986045107844,0.0008743028922833496,0.010871220192258748,24415.937090207648
2011-02-10,132.321,0.0003931382258881566,393.1382258881566,0.000868550223676829,0.010872507347814562,24424.684130405
2011-02-11,133.11,0.005962772349060286,5962.772349060286,0.0008071831245996339,0.01083147992523906,24390.6071721963
2011-02-14,133.43,0.0024040267447975605,2404.0267447975607,0.0008120803229807478,0.01083354107650208,24390.504928673985
2011-02-15,133.01,-0.003147717904519398,-3147.717904519398,0.0007981158023524655,0.010829211818848071,24394.39808996269
2011-02-16,133.85,0.00631531463799706,6315.31463799706,0.0007772299167590928,0.010831776586848111,24421.250518140365
2011-02-17,134.25,0.002988419872992143,2988.419872992143,0.0008017713624624215,0.010837366878714155,24409.714036034875
2011-02-18,134.53,0.0020856610800745745,2085.6610800745743,0.0008623036673592118,0.010806984409780812,24278.50153912689
2011-02-22,131.83,-0.020069872890804974,-20069.872890804974,0.0008338554911713599,0.010794307673140262,24277.459215981224
2011-02-23,131.02,-0.006144276720018271,-6144.276720018272,0.0007589901847732721,0.010874149071199636,24538.063389015188
2011-02-24,130.93,-0.0006869180277820908,-686.9180277820908,0.0007318830336174247,0.010882908708093645,24585.548502836777
2011-02-25,132.33,0.010692736576796813,10692.736576796813,0.0006875966221167351,0.010865984261211917,24590.46276331484
2011-02-28,133.15,0.00619662963802603,6196.62963802603,0.0007192852554379536,0.010883620729913142,24599.802691462308
2011-03-01,130.93,-0.016672925272249284,-16672.925272249282,0.0007405067116014665,0.010889128358331994,24591.393894961995
2011-03-02,131.21,0.0021385473153594514,2138.547315359451,0.000661668973112647,0.010943650507792791,24797.06911993708
2011-03-03,133.47,0.017224296928587624,17224.296928587624,0.0006130858855388297,0.01090983908270809,24766.99507064681
2011-03-04,132.47,-0.007492320371619066,-7492.320371619066,0.0006812828544347998,0.010960260522252354,24816.09591044072
2011-03-07,131.43,-0.007850834151128527,-7850.834151128527,0.0006446626584475794,0.010972255932606262,24880.621603803
