SPY Return,Portfolio P&L,VaR,VaR (Age-Weighted)
0.00023859705048170248,238.5970504817025,32584.81111836795,15926.293660920557
0.010284900786324547,10284.900786324546,32584.81111836795,15909.098768615513
-0.0005511160238692251,-551.1160238692252,32584.81111836795,15891.37207551753
0.00518420766773899,5184.20766773899,32584.81111836795,15873.097134179407
-0.0019605542883472577,-1960.5542883472576,32584.81111836795,15854.256988469997
-0.001964405613432823,-1964.405613432823,32584.81111836795,15834.834157841742
-0.001259247765958832,-1259.247765958832,32584.81111836795,15814.810621111581
0.0035376004818840597,3537.6004818840597,32584.81111836795,15794.167799740282
0.00898408448935301,8984.08448935301,32584.81111836795,15772.886540594613
-0.0016540347615525877,-1654.0347615525877,32584.81111836795,15750.947098176395
0.00723804182582358,7238.04182582358,32584.81111836795,15728.329116301946
0.0017000235915679387,1700.0235915679386,32584.81111836795,15705.011609214886
-0.009853825318500882,-9853.825318500882,32584.81111836795,15656.38734883551
-0.0013264153624195645,-1326.4153624195644,32584.81111836795,15603.078745609397
0.002261650408375846,2261.6504083758464,32584.81111836795,15550.705226455764
0.005670578755761594,5670.578755761594,32584.81111836795,15496.71190774068
0.000542068391327329,542.068391327329,32584.81111836795,15441.04869257049
0.0038633953168688046,3863.3953168688045,32584.81111836795,15383.663934663076
0.0024647628591350766,2464.7628591350767,32584.81111836795,15324.504390428632
-0.017617156573346508,-17617.156573346507,32584.81111836795,15263.515169568378
0.00748833452424447,7488.33452424447,32584.81111836795,17939.063569728023
0.01588191581375782,15881.915813757822,32584.81111836795,17925.64826971423
-0.0019523405569697506,-1952.3405569697507,32584.81111836795,17911.13576185978
0.002258244505516034,2258.2445055160338,32584.81111836795,17896.87781732392
0.0028251841797528776,2825.1841797528778,32584.81111836795,17882.178905431276
0.006232917715855438,6232.917715855438,32584.81111836795,17867.02538801618
0.0045361837820201015,4536.183782020102,32584.81111836795,17851.40320511402
-0.002273080094720837,-2273.0800947208368,32584.81111836795,17835.297861915915
0.0003930609673040346,393.0609673040346,32584.81111836795,17818.694415319933
0.005945065375586422,5945.065375586421,32584.81111836795,17801.577460066343
0.002401141695401518,2401.141695401518,32584.81111836795,17783.931114444087
-0.0031526823891246383,-3152.682389124638,32584.81111836795,17765.73900555516
0.006295456601156589,6295.456601156589,32584.81111836795,17746.984254123276
0.002983963422612542,2983.9634226125418,32584.81111836795,17727.64945883268
0.002083489108477549,2083.489108477549,32584.81111836795,17707.716680182573
-0.020274008727572915,-20274.008727572917,32584.81111836795,17687.16742384226
