Date,Last Price,High Price,Low Price,Open Price
4/22/2026,711.21,711.45,708.22,709.15
4/21/2026,704.08,711.275,702.64,710.28
4/20/2026,708.72,709.91,706.14,708.78
4/17/2026,710.14,712.39,705.76,706.14
4/16/2026,701.66,702.78,698.53,701.06
4/15/2026,699.94,700.28,694.2,695.26
4/14/2026,694.46,694.58,687.66,687.69
4/13/2026,686.1,686.3,676.58,677.41
4/10/2026,679.46,682.03,678.45,681.32
4/9/2026,679.91,681.16,673.77,674.84
4/8/2026,676.01,677.08,671.46,676.39
4/7/2026,659.22,659.61,651.06,656.65
4/6/2026,658.93,659.72,655.52,655.86
4/2/2026,655.83,658.2,645.11,646.42
4/1/2026,655.24,658.52,653,653.9
3/31/2026,650.34,651.54,637.98,638.94
3/30/2026,631.97,640.37,629.28,640.11
3/27/2026,634.09,642.66,633.105,642.5
3/26/2026,645.09,654.85,644.82,652.06
3/25/2026,656.82,660.89,654.24,658.67
3/24/2026,653.18,657.03,649.88,651.32
3/23/2026,655.38,662.615,653.94,658.07
3/20/2026,648.57,656.69,644.72,656.51
3/19/2026,659.8,662.98,655.17,656.97
3/18/2026,661.43,669.72,661.19,668.36
3/17/2026,670.79,674.44,669.7,672.39
3/16/2026,669.03,672.07,667.12,668.38
3/13/2026,662.29,672.335,661.36,669.27
3/12/2026,666.06,671.65,665.87,671.16
3/11/2026,676.33,680.08,673.34,677.58
3/10/2026,677.18,683.36,674.76,677.72
3/9/2026,678.27,679.92,662.39,666.39
3/6/2026,672.38,676.11,669.76,673.41
3/5/2026,681.31,685.53,675.61,682.08
3/4/2026,685.13,687.09,679.62,681.63
3/3/2026,680.33,682.61,669.66,675.06
3/2/2026,686.38,688.62,678.02,678.7
2/27/2026,685.99,686.86,681.64,683.09
2/26/2026,689.3,693.3,684.35,693.28
2/25/2026,693.15,693.68,690.1,690.18
2/24/2026,687.35,688.35,680,681.9
2/23/2026,682.39,690,680.371,687.83
2/20/2026,689.43,690.06,681.73,682.32
2/19/2026,684.48,686.18,681.5475,683.84
2/18/2026,686.29,689.15,682.83,684.02
2/17/2026,682.85,684.94,675.78,680.14
2/13/2026,681.75,686.28,677.52,681.69
2/12/2026,681.27,695.35,680.37,694.24
2/11/2026,691.96,697.14,689.18,696.39
2/10/2026,692.12,696.54,691.66,694.95
2/9/2026,693.95,695.87,688.34,689.42
2/6/2026,690.62,692.31,680.85,681.46
2/5/2026,677.62,683.69,675.79,680.94
2/4/2026,686.19,691.45,681.76,690.35
2/3/2026,689.53,696.96,684.03,696.21
2/2/2026,695.41,696.93,689.425,689.58
1/30/2026,691.97,694.21,687.12,691.79
1/29/2026,694.04,697.06,684.83,696.39
1/28/2026,695.42,697.84,693.94,697.05
1/27/2026,695.49,696.53,693.57,694.18
1/26/2026,692.73,694.13,689.92,690.49
1/23/2026,689.23,690.96,687.16,688.15
1/22/2026,688.98,691.125,686.92,689.85
1/21/2026,685.4,688.735,678.13,679.65
1/20/2026,677.58,684.77,676.57,681.49
1/16/2026,691.66,694.25,690.1,693.66
1/15/2026,692.24,695.45,691.25,694.57
1/14/2026,690.36,691.72,686.04,691
1/13/2026,693.77,696.09,691.35,695.49
1/12/2026,695.16,696.09,690.63,690.68
1/9/2026,694.07,695.31,689.18,690.63
1/8/2026,689.51,690.615,687.49,688.82
1/7/2026,689.58,693.96,689.32,692.19
1/6/2026,691.81,692.315,687.78,687.93
1/5/2026,687.72,689.43,686.375,686.54
1/2/2026,683.17,686.87,679.82,685.71
12/31/2025,681.92,687.36,681.71,687.14
12/30/2025,687.01,688.555,686.58,687.445
12/29/2025,687.85,689.2,686.07,687.54
12/26/2025,690.31,691.66,689.27,690.64
12/24/2025,690.38,690.83,687.8,687.95
12/23/2025,687.96,688.2,683.87,683.92
12/22/2025,684.83,685.36,680.5868,683.94
12/19/2025,680.59,681.09,676.47,676.59
12/18/2025,676.47,680.74,674.9,677.6
12/17/2025,671.4,680.435,671.195,679.89
12/16/2025,678.87,681.08,674.98,679.23
12/15/2025,680.73,685.76,679.25,685.74
12/12/2025,681.76,688.88,679.1744,688.17
12/11/2025,689.17,689.25,682.165,685.14
12/10/2025,687.57,688.97,681.31,682.56
12/9/2025,683.04,685.385,682.59,683.15
12/8/2025,683.63,686.64,681.57,686.59
12/5/2025,685.69,688.39,684.58,685.47
12/4/2025,684.39,685.37,681.34,685.3
12/3/2025,683.89,684.91,679.69,680.57
12/2/2025,681.53,683.82,679.3275,681.92
12/1/2025,680.27,682.99,678.74,678.81
11/28/2025,683.39,683.665,680.5,680.86
11/26/2025,679.68,681.7,676.72,677.63
11/25/2025,675.02,676.21,664.48,668.63
11/24/2025,668.73,670.06,661.59,662.69
11/21/2025,659.03,664.55,650.85,655.05
11/20/2025,652.53,675.56,651.89,672.91
11/19/2025,662.63,667.34,658.745,660.78
11/18/2025,660.08,665.12,655.86,662.095
11/17/2025,665.67,673.71,662.17,669.7
11/14/2025,671.93,675.66,663.265,665.38
11/13/2025,672.04,680.86,670.52,680.5
11/12/2025,683.38,684.96,680.945,684.79
11/11/2025,683,683.57,678.73,679.95
11/10/2025,681.44,682.18,675.03,677.235
11/7/2025,670.97,671.08,661.205,667.91
11/6/2025,670.31,677.38,668.72,676.47
11/5/2025,677.58,680.86,674.17,674.98
11/4/2025,675.24,679.96,674.58,676.11
11/3/2025,683.34,685.8,679.94,685.67
10/31/2025,682.06,685.08,679.24,685.04
10/30/2025,679.83,685.94,679.83,683.9
10/29/2025,687.39,689.7,682.87,688.72
10/28/2025,687.06,688.905,684.83,687.05
10/27/2025,685.24,685.54,682.115,682.73
10/24/2025,677.25,678.47,675.65,676.46
10/23/2025,671.76,672.7101,667.8,668.12
10/22/2025,667.8,672,663.3,672
10/21/2025,671.29,672.99,669.981,671.44
10/20/2025,671.3,672.21,667.27,667.32
10/17/2025,664.39,665.755,658.14,659.5
10/16/2025,660.64,668.71,657.11,666.82
10/15/2025,665.17,670.23,658.93,666.82
10/14/2025,662.23,665.83,653.17,657.17
10/13/2025,663.04,665.13,659.7679,660.65
10/10/2025,653.02,673.95,652.84,672.13
10/9/2025,671.16,673.94,669.21,673.53
10/8/2025,673.11,673.2056,669.42,670.25
